id	CON_count	OGD_count	CON_fpkm	OGD_fpkm	log2(FC)	Pvalue	FDR	significant
ENSMUST00000054653	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000054910	0	1.48666666666667	0.001	0.02	4.32192809488736	0.383405398527529	1	no
ENSMUST00000055537	16.66	14.6666666666667	0.17	0.143333333333333	-0.246160587269401	0.333910768259778	1	no
ENSMUST00000056145	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000056774	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000056879	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000056994	0.333333333333333	0	0.00666666666666667	0.001	-2.73696559416621	1	1	no
ENSMUST00000057134	0	0.333333333333333	0.001	0.00333333333333333	1.7369655941662	0.999999999999998	1	no
ENSMUST00000059648	0.333333333333333	1.66666666666667	0.00333333333333333	0.0133333333333333	2	0.55914400789701	1	no
ENSMUST00000059704	21.1033333333333	16.5633333333333	0.613333333333333	0.463333333333333	-0.404620883333506	0.174003423963165	1	no
ENSMUST00000060147	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000060246	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000060298	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000060526	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000060657	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000060705	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000060825	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000060946	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000061643	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000061823	0.333333333333333	0	0.00333333333333333	0.001	-1.7369655941662	0.999999999999999	1	no
ENSMUST00000061899	0	0.333333333333333	0.001	0.00333333333333333	1.7369655941662	1	1	no
ENSMUST00000062159	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000062249	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000062438	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000063103	485.536666666667	658.32	9.33	12.57	0.430035663568749	0.775511906974116	1	no
ENSMUST00000063230	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000063891	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000064002	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000064097	10.4533333333333	5	0.113333333333333	0.0666666666666667	-0.765534746362972	0.34968221887042	1	no
ENSMUST00000064349	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000064646	2.66666666666667	4	0.116666666666667	0.186666666666667	0.678071905112636	0.915905369468431	1	no
ENSMUST00000064809	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000064930	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000065383	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000065469	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000065741	1.33333333333333	2.66666666666667	0.0433333333333333	0.09	1.05444778402238	0.839674621842421	1	no
ENSMUST00000065956	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000066005	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000066196	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000066220	109.686666666667	90.79	1.48	1.22	-0.278716028066063	0.488587653558607	1	no
ENSMUST00000066740	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000066988	5	4.02	0.0666666666666667	0.0466666666666667	-0.514573172829758	0.704222484883161	1	no
ENSMUST00000067176	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000067450	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000067618	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000067770	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000068068	0	0.333333333333333	0.001	0.0233333333333333	4.54432051622381	0.999999999999999	1	no
ENSMUST00000068526	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000068704	2.21	10.5333333333333	0.0233333333333333	0.11	2.23703919730085	0.277039343763165	1	no
ENSMUST00000068968	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000069035	0	0.333333333333333	0.001	0.0166666666666667	4.05889368905357	1	1	no
ENSMUST00000069457	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000069741	0	1	0.001	0.01	3.32192809488736	0.50810779835625	1	no
ENSMUST00000069809	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000070048	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000070085	0	0.666666666666667	0.001	0.00666666666666667	2.73696559416621	0.548349928618693	1	no
ENSMUST00000070382	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000070425	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000070500	0.38	0.43	0.00666666666666667	0.00666666666666667	0	1	1	no
ENSMUST00000070987	0	1	0.001	0.0233333333333333	4.54432051622381	0.512121694406632	1	no
ENSMUST00000071008	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000071101	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000071328	5.25	4.05666666666667	0.14	0.11	-0.347923303420307	0.427522085220541	1	no
